query,reply,label
   契税是几个点，赠与的话,稍等。我看下,0
   契税是几个点，赠与的话,太公世家可以吗,0
   契税是几个点，赠与的话,2019年的房子,0
   契税是几个点，赠与的话,电梯房,0
   契税是几个点，赠与的话,最便宜的是90万的那套,0
 B区的还是c区的？,b区的,1
 B区的还是c区的？,新上房源，还没排名的,0
 B区的还是c区的？,还没拍实勘,0
 B区的还是c区的？,不是太远,0
 B区的还是c区的？,不是紧挨着的,0
 您好 请问花语拾光怎样,每个项目都有优缺点哈,0
 您好 请问花语拾光怎样,我这给您整理下花语时光及周边类似的小区优缺点,0
 您好 请问花语拾光怎样,给您电话说说吧,0
 您好 请问花语拾光怎样,您贵姓呀？,0
 您好 请问花语拾光怎样,您电话多少呀？,0
 您好 请问花语拾光怎样,那我微信发给您吧！,0
 您好 请问花语拾光怎样,周边的楼盘可以一起对比一下,0
 您好 请问花语拾光怎样,可以带您去售楼处看看呀,0
 您好 请问花语拾光怎样,这个吗？,0
 您好 请问花语拾光怎样,？不方便接电话么？,0
 这个周边有什么学校吗？,不贵,0
 这个周边有什么学校吗？,文化路三小长安校区,1
 这个周边有什么学校吗？,郑州7中，新奇中学,1
 这个周边有什么学校吗？,可以的,0
 这个周边有什么学校吗？,您什么时候有空呢，可以先看看房子,0
01或02,是的呢,0
01或02,您对房源分配有什么特殊要求吗？,0
01或02,2号机组西单元,0
01或02,你什么时候方便？你需要预约吗？,0
01或02,是的,0
01户 还是02户,是的呢,0
01户 还是02户,您对房源分布是有特殊要求吗？,0
01户 还是02户,2单元室西单元,0
01户 还是02户,是的,0
01户 还是02户,您什么时间方便，需要给您预约下看房时间吗？,0
100这套是装修过的吗？,首付45万左右,0
100这套是装修过的吗？,全部加税费一起,0
100这套是装修过的吗？,您是问毛坯还是精装的,0
100这套是装修过的吗？,没有装修,1
100这套是装修过的吗？,毛坯房,1
105万房东会卖吗？是的,怎么可能呢！这是第三期房子！你说一期二期70多套三套，这个价格也可以商量，三期不敢想,0
105万房东会卖吗？是的,105万？,0
105万房东会卖吗？是的,你看见房子了吗？,0
105万房东卖不卖吗？看过,房子看过了？,0
105万房东卖不卖吗？看过,咋可能嘛！这个是3期的房子！你说一期二期70多平的 套三，这个价格还可以谈，三期想都不敢想,0
105万房东卖不卖吗？看过,105万？,0
105以内能谈？,力高滨湖国际东门,0
105以内能谈？,目前业主是说115万净得，之前跟业主沟通通过,1
105以内能谈？,业主也怕我们故意压他价格，您人在南昌吗？如果大家都诚心买卖，可以面谈，业主人也挺好说话的,0
10万不可以？,当时买来加上所有费用大概25万,0
10万不可以？,有些位置好的会贵点,0
10万不可以？,20万这样,0
10万不行吗？,有些地方比较贵,0
10万不行吗？,那时候，加上所有的开支，大概是25万,0
10万不行吗？,200000,0
10号404他看吗？,客户是蓝高小区这个户型的业主，想要看看自己能卖多少钱,0
